Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker
2025-01-30 09:30:00-05:00,581.239990234375,584.0,578.7349853515625,578.7999877929688,347129,0.0,0.0,ISRG
2025-01-30 10:30:00-05:00,579.0999755859375,584.1953735351562,578.110107421875,583.5900268554688,313981,0.0,0.0,ISRG
2025-01-30 11:30:00-05:00,583.530029296875,583.7650146484375,581.1099853515625,581.3699951171875,127945,0.0,0.0,ISRG
2025-01-30 12:30:00-05:00,581.073486328125,582.2650146484375,580.6599731445312,582.0,82689,0.0,0.0,ISRG
2025-01-30 13:30:00-05:00,582.219970703125,583.6950073242188,581.4099731445312,581.8300170898438,149154,0.0,0.0,ISRG
2025-01-30 14:30:00-05:00,581.9099731445312,584.4227294921875,581.52001953125,582.7100219726562,214001,0.0,0.0,ISRG
2025-01-30 15:30:00-05:00,582.7000122070312,583.4199829101562,577.4299926757812,579.9600219726562,473826,0.0,0.0,ISRG
2025-01-31 09:30:00-05:00,576.739990234375,586.8900146484375,576.739990234375,582.6400146484375,275238,0.0,0.0,ISRG
2025-01-31 10:30:00-05:00,583.3400268554688,586.219970703125,581.6400146484375,584.3350219726562,187441,0.0,0.0,ISRG
2025-01-31 11:30:00-05:00,583.9600219726562,585.1599731445312,582.989990234375,584.8049926757812,90643,0.0,0.0,ISRG
2025-01-31 12:30:00-05:00,584.9400024414062,585.260009765625,580.5651245117188,580.719970703125,98798,0.0,0.0,ISRG
2025-01-31 13:30:00-05:00,580.7999877929688,580.7999877929688,575.5507202148438,576.469970703125,183331,0.0,0.0,ISRG
2025-01-31 14:30:00-05:00,576.510009765625,577.5800170898438,572.5200805664062,573.2750244140625,160491,0.0,0.0,ISRG
2025-01-31 15:30:00-05:00,573.3699951171875,574.5050048828125,570.8599853515625,571.6300048828125,282289,0.0,0.0,ISRG
2025-02-03 09:30:00-05:00,564.6400146484375,575.1099853515625,563.267578125,575.1099853515625,456048,0.0,0.0,ISRG
2025-02-03 10:30:00-05:00,575.0,583.3699951171875,574.0571899414062,582.1900024414062,283565,0.0,0.0,ISRG
2025-02-03 11:30:00-05:00,582.27001953125,583.575927734375,581.1199951171875,582.0700073242188,138342,0.0,0.0,ISRG
2025-02-03 12:30:00-05:00,582.0999755859375,583.1409301757812,580.260009765625,582.3800048828125,119857,0.0,0.0,ISRG
2025-02-03 13:30:00-05:00,582.1099853515625,583.2000122070312,580.9349975585938,581.22998046875,115142,0.0,0.0,ISRG
2025-02-03 14:30:00-05:00,581.3900146484375,582.1661987304688,578.6589965820312,578.9149780273438,146472,0.0,0.0,ISRG
2025-02-03 15:30:00-05:00,579.0576171875,580.97998046875,578.1199951171875,578.3200073242188,235717,0.0,0.0,ISRG
2025-02-04 09:30:00-05:00,573.2100219726562,582.8499755859375,573.0800170898438,580.72998046875,268094,0.0,0.0,ISRG
2025-02-04 10:30:00-05:00,580.7150268554688,581.2000122070312,578.010009765625,579.02001953125,128946,0.0,0.0,ISRG
2025-02-04 11:30:00-05:00,578.7949829101562,580.6649780273438,577.844970703125,578.4000244140625,140006,0.0,0.0,ISRG
2025-02-04 12:30:00-05:00,578.4000244140625,579.1267700195312,577.130126953125,577.97998046875,73180,0.0,0.0,ISRG
2025-02-04 13:30:00-05:00,577.9500122070312,579.3350219726562,577.5800170898438,578.8250122070312,69963,0.0,0.0,ISRG
2025-02-04 14:30:00-05:00,578.8250122070312,579.3900146484375,577.2650146484375,577.3900146484375,106284,0.0,0.0,ISRG
2025-02-04 15:30:00-05:00,577.280029296875,580.3099975585938,577.1699829101562,579.5999755859375,261327,0.0,0.0,ISRG
2025-02-05 09:30:00-05:00,580.4600219726562,592.5364990234375,580.1599731445312,588.5700073242188,359603,0.0,0.0,ISRG
2025-02-05 10:30:00-05:00,588.4412231445312,589.5399780273438,586.8900146484375,589.5198974609375,130083,0.0,0.0,ISRG
2025-02-05 11:30:00-05:00,589.2899780273438,590.7100219726562,588.0631713867188,589.5850219726562,114738,0.0,0.0,ISRG
2025-02-05 12:30:00-05:00,589.6300048828125,590.5999755859375,588.9660034179688,590.2100219726562,84281,0.0,0.0,ISRG
2025-02-05 13:30:00-05:00,590.0599975585938,592.0,589.9600219726562,591.5850219726562,117694,0.0,0.0,ISRG
2025-02-05 14:30:00-05:00,591.510009765625,592.6400146484375,590.8250122070312,591.9375,162200,0.0,0.0,ISRG
2025-02-05 15:30:00-05:00,592.0800170898438,592.469970703125,590.5700073242188,590.7899780273438,249407,0.0,0.0,ISRG
2025-02-06 09:30:00-05:00,592.780029296875,592.8599243164062,588.114990234375,588.4400024414062,194485,0.0,0.0,ISRG
2025-02-06 10:30:00-05:00,588.260009765625,589.4949951171875,586.6300048828125,588.9650268554688,94235,0.0,0.0,ISRG
2025-02-06 11:30:00-05:00,589.1400146484375,590.8464965820312,587.5800170898438,590.030029296875,91607,0.0,0.0,ISRG
2025-02-06 12:30:00-05:00,590.0250244140625,590.3250122070312,588.8778076171875,590.1300048828125,73637,0.0,0.0,ISRG
2025-02-06 13:30:00-05:00,590.1699829101562,590.280029296875,588.2449951171875,588.739990234375,62877,0.0,0.0,ISRG
2025-02-06 14:30:00-05:00,588.4600219726562,590.9000244140625,585.4000244140625,586.5579223632812,97077,0.0,0.0,ISRG
2025-02-06 15:30:00-05:00,586.7449951171875,589.010009765625,586.655029296875,588.4299926757812,167961,0.0,0.0,ISRG
2025-02-07 09:30:00-05:00,590.5,594.0806884765625,586.0399780273438,589.2899780273438,250994,0.0,0.0,ISRG
2025-02-07 10:30:00-05:00,589.0499877929688,590.25,585.969970703125,586.3599853515625,126051,0.0,0.0,ISRG
2025-02-07 11:30:00-05:00,587.0700073242188,588.6699829101562,585.4400024414062,586.1699829101562,96454,0.0,0.0,ISRG
2025-02-07 12:30:00-05:00,586.1799926757812,587.25,584.8599853515625,587.1300048828125,68362,0.0,0.0,ISRG
2025-02-07 13:30:00-05:00,587.0050048828125,588.530029296875,583.56787109375,584.0700073242188,68433,0.0,0.0,ISRG
2025-02-07 14:30:00-05:00,583.7849731445312,584.9349975585938,582.506103515625,582.9949951171875,101515,0.0,0.0,ISRG
2025-02-07 15:30:00-05:00,583.239990234375,584.0399780273438,582.155029296875,583.1400146484375,166444,0.0,0.0,ISRG
2025-02-10 09:30:00-05:00,588.0001220703125,593.8200073242188,586.77490234375,593.3350219726562,257514,0.0,0.0,ISRG
2025-02-10 10:30:00-05:00,593.530029296875,594.2899780273438,590.389404296875,590.7949829101562,127878,0.0,0.0,ISRG
2025-02-10 11:30:00-05:00,590.9019775390625,591.9500122070312,590.2680053710938,591.0800170898438,74706,0.0,0.0,ISRG
2025-02-10 12:30:00-05:00,591.125,593.5800170898438,590.6300048828125,592.9299926757812,110346,0.0,0.0,ISRG
2025-02-10 13:30:00-05:00,592.9299926757812,594.0,592.5601196289062,594.0,90669,0.0,0.0,ISRG
2025-02-10 14:30:00-05:00,593.89501953125,594.510009765625,593.0250244140625,593.155029296875,97829,0.0,0.0,ISRG
2025-02-10 15:30:00-05:00,593.155029296875,595.9600219726562,593.0601196289062,595.7000122070312,208138,0.0,0.0,ISRG
2025-02-11 09:30:00-05:00,591.22998046875,592.0499877929688,589.02001953125,590.906005859375,146522,0.0,0.0,ISRG
2025-02-11 10:30:00-05:00,591.2509155273438,592.8300170898438,590.8078002929688,591.5650024414062,77198,0.0,0.0,ISRG
2025-02-11 11:30:00-05:00,591.1950073242188,591.4000244140625,587.0,587.5599975585938,94686,0.0,0.0,ISRG
2025-02-11 12:30:00-05:00,587.7999877929688,589.9600219726562,587.610107421875,589.77001953125,46837,0.0,0.0,ISRG
2025-02-11 13:30:00-05:00,589.6199951171875,591.3400268554688,589.510009765625,591.0599975585938,72677,0.0,0.0,ISRG
2025-02-11 14:30:00-05:00,591.219970703125,592.8250122070312,591.0999755859375,592.0999755859375,73843,0.0,0.0,ISRG
2025-02-11 15:30:00-05:00,591.8599853515625,592.4376831054688,590.842529296875,591.6699829101562,115507,0.0,0.0,ISRG
2025-02-12 09:30:00-05:00,584.6799926757812,586.5800170898438,581.0549926757812,585.989990234375,184117,0.0,0.0,ISRG
2025-02-12 10:30:00-05:00,585.7000122070312,588.22998046875,585.7000122070312,586.1799926757812,73305,0.0,0.0,ISRG
2025-02-12 11:30:00-05:00,586.722412109375,591.3298950195312,586.405029296875,590.2999877929688,70474,0.0,0.0,ISRG
2025-02-12 12:30:00-05:00,589.9099731445312,591.0999755859375,588.61767578125,590.7150268554688,83918,0.0,0.0,ISRG
2025-02-12 13:30:00-05:00,590.7150268554688,591.8200073242188,588.610107421875,590.25,92185,0.0,0.0,ISRG
2025-02-12 14:30:00-05:00,590.135009765625,590.9099731445312,589.5,590.5449829101562,82060,0.0,0.0,ISRG
2025-02-12 15:30:00-05:00,590.635009765625,590.75,589.4600219726562,589.72998046875,27178,0.0,0.0,ISRG
