Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker
2025-01-30 09:30:00-05:00,179.39500427246094,180.4600067138672,177.7100067138672,179.3000030517578,1145794,0.0,0.0,AMAT
2025-01-30 10:30:00-05:00,179.3699951171875,180.27000427246094,178.94000244140625,180.18499755859375,491791,0.0,0.0,AMAT
2025-01-30 11:30:00-05:00,180.33999633789062,181.99000549316406,180.3000030517578,180.8800048828125,570485,0.0,0.0,AMAT
2025-01-30 12:30:00-05:00,180.88499450683594,181.0800018310547,180.50999450683594,180.8092041015625,436196,0.0,0.0,AMAT
2025-01-30 13:30:00-05:00,180.85000610351562,182.3000030517578,180.77999877929688,181.99600219726562,488244,0.0,0.0,AMAT
2025-01-30 14:30:00-05:00,182.0399932861328,183.25999450683594,181.64999389648438,183.0500030517578,642076,0.0,0.0,AMAT
2025-01-30 15:30:00-05:00,183.0500030517578,183.1649932861328,180.75999450683594,181.7100067138672,994492,0.0,0.0,AMAT
2025-01-31 09:30:00-05:00,182.6199951171875,185.85000610351562,182.02000427246094,185.77000427246094,1014314,0.0,0.0,AMAT
2025-01-31 10:30:00-05:00,185.86000061035156,186.44000244140625,185.39999389648438,185.71400451660156,559192,0.0,0.0,AMAT
2025-01-31 11:30:00-05:00,185.64999389648438,185.99000549316406,185.0,185.73500061035156,460521,0.0,0.0,AMAT
2025-01-31 12:30:00-05:00,185.72000122070312,185.9199981689453,183.75999450683594,183.97999572753906,328893,0.0,0.0,AMAT
2025-01-31 13:30:00-05:00,183.83230590820312,183.8800048828125,182.07000732421875,182.58999633789062,447676,0.0,0.0,AMAT
2025-01-31 14:30:00-05:00,182.60499572753906,182.67849731445312,180.16000366210938,180.36000061035156,554167,0.0,0.0,AMAT
2025-01-31 15:30:00-05:00,180.4949951171875,181.5500030517578,180.0612030029297,180.35000610351562,602732,0.0,0.0,AMAT
2025-02-03 09:30:00-05:00,175.32000732421875,179.25999450683594,174.24000549316406,179.00999450683594,1036760,0.0,0.0,AMAT
2025-02-03 10:30:00-05:00,179.05999755859375,180.22000122070312,178.0260009765625,179.4499969482422,768634,0.0,0.0,AMAT
2025-02-03 11:30:00-05:00,179.42999267578125,179.8000030517578,178.30999755859375,178.86000061035156,493622,0.0,0.0,AMAT
2025-02-03 12:30:00-05:00,178.73019409179688,179.39999389648438,178.4499969482422,178.72000122070312,282117,0.0,0.0,AMAT
2025-02-03 13:30:00-05:00,178.75,180.1999969482422,178.64999389648438,179.9550018310547,283319,0.0,0.0,AMAT
2025-02-03 14:30:00-05:00,179.94000244140625,180.25,179.05499267578125,179.06500244140625,285767,0.0,0.0,AMAT
2025-02-03 15:30:00-05:00,179.08999633789062,179.2899932861328,178.35000610351562,178.75,536918,0.0,0.0,AMAT
2025-02-04 09:30:00-05:00,175.4499969482422,179.3000030517578,175.4499969482422,178.94000244140625,866850,0.0,0.0,AMAT
2025-02-04 10:30:00-05:00,178.8300018310547,179.10000610351562,177.72000122070312,178.52499389648438,422583,0.0,0.0,AMAT
2025-02-04 11:30:00-05:00,178.51499938964844,179.0,177.96499633789062,178.01499938964844,277979,0.0,0.0,AMAT
2025-02-04 12:30:00-05:00,178.02499389648438,178.9499969482422,177.61500549316406,178.74000549316406,302411,0.0,0.0,AMAT
2025-02-04 13:30:00-05:00,178.69500732421875,179.10000610351562,178.52000427246094,178.77000427246094,209406,0.0,0.0,AMAT
2025-02-04 14:30:00-05:00,178.7899932861328,178.7949981689453,177.9250030517578,178.22999572753906,344447,0.0,0.0,AMAT
2025-02-04 15:30:00-05:00,178.1999969482422,178.76499938964844,178.11000061035156,178.5500030517578,481071,0.0,0.0,AMAT
2025-02-05 09:30:00-05:00,176.89999389648438,177.6750030517578,175.32000732421875,177.5,885380,0.0,0.0,AMAT
2025-02-05 10:30:00-05:00,177.5399932861328,178.4199981689453,177.36000061035156,178.14999389648438,360677,0.0,0.0,AMAT
2025-02-05 11:30:00-05:00,178.1999969482422,180.1199951171875,178.0850067138672,179.5500030517578,416418,0.0,0.0,AMAT
2025-02-05 12:30:00-05:00,179.5500030517578,179.67999267578125,178.8300018310547,179.36000061035156,234352,0.0,0.0,AMAT
2025-02-05 13:30:00-05:00,179.2899932861328,180.34500122070312,179.2100067138672,180.10000610351562,265018,0.0,0.0,AMAT
2025-02-05 14:30:00-05:00,180.05999755859375,181.0050048828125,179.96499633789062,180.90780639648438,343159,0.0,0.0,AMAT
2025-02-05 15:30:00-05:00,180.9199981689453,180.9250030517578,179.77000427246094,180.6699981689453,704463,0.0,0.0,AMAT
2025-02-06 09:30:00-05:00,179.71499633789062,182.22999572753906,178.6199951171875,180.7899932861328,722434,0.0,0.0,AMAT
2025-02-06 10:30:00-05:00,180.73500061035156,181.1999969482422,180.0,180.97000122070312,362032,0.0,0.0,AMAT
2025-02-06 11:30:00-05:00,181.00999450683594,181.38999938964844,180.60499572753906,180.92999267578125,341204,0.0,0.0,AMAT
2025-02-06 12:30:00-05:00,180.92999267578125,183.07000732421875,180.85000610351562,182.88999938964844,494570,0.0,0.0,AMAT
2025-02-06 13:30:00-05:00,182.80999755859375,183.07000732421875,181.9250030517578,182.10000610351562,397641,0.0,0.0,AMAT
2025-02-06 14:30:00-05:00,182.10000610351562,182.11000061035156,180.6699981689453,181.88999938964844,476641,0.0,0.0,AMAT
2025-02-06 15:30:00-05:00,181.91000366210938,182.88999938964844,181.8737030029297,182.8000030517578,664275,0.0,0.0,AMAT
2025-02-07 09:30:00-05:00,182.9199981689453,183.5399932861328,179.80999755859375,180.75999450683594,719809,0.0,0.0,AMAT
2025-02-07 10:30:00-05:00,180.69000244140625,181.07000732421875,178.72999572753906,179.35000610351562,554248,0.0,0.0,AMAT
2025-02-07 11:30:00-05:00,179.39999389648438,179.9499969482422,178.80999755859375,179.42999267578125,480151,0.0,0.0,AMAT
2025-02-07 12:30:00-05:00,179.42999267578125,180.7886962890625,179.25,180.3300018310547,365196,0.0,0.0,AMAT
2025-02-07 13:30:00-05:00,180.25999450683594,180.67999267578125,179.30999755859375,179.35000610351562,302461,0.0,0.0,AMAT
2025-02-07 14:30:00-05:00,179.27999877929688,179.88999938964844,179.03500366210938,179.27000427246094,409000,0.0,0.0,AMAT
2025-02-07 15:30:00-05:00,179.2899932861328,180.27000427246094,179.11000061035156,180.00999450683594,780206,0.0,0.0,AMAT
2025-02-10 09:30:00-05:00,182.85000610351562,184.02999877929688,181.6300048828125,181.77999877929688,691141,0.0,0.0,AMAT
2025-02-10 10:30:00-05:00,181.77999877929688,182.53990173339844,181.4199981689453,182.19000244140625,383948,0.0,0.0,AMAT
2025-02-10 11:30:00-05:00,182.2100067138672,183.07000732421875,181.9528045654297,182.8800048828125,270180,0.0,0.0,AMAT
2025-02-10 12:30:00-05:00,182.8800048828125,183.7050018310547,182.85560607910156,183.1999969482422,208598,0.0,0.0,AMAT
2025-02-10 13:30:00-05:00,183.22999572753906,183.64999389648438,183.05999755859375,183.3699951171875,234143,0.0,0.0,AMAT
